"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","写字楼列表页","点击查询条件","0","0","20","0","0"
"","联合办公列表页","点击查询条件","0","0","18","0","0"
"","首页","定位元素+点击(跳转新页面)","0","0","5","0","0"
"","写字楼列表页","搜索-大厦","0","0","1","0","0"
"","首页","检查页面元素","0","0","0","4","0"
"","首页","搜索框输入+点击","0","0","1","0","0"
"","办公室列表页","点击查询条件","1","0","19","0","0"
"","首页","定位元素+点击(不跳转新页面)","0","0","5","0","0"
"","首页","更多服务","0","0","5","0","0"
"","委托找房","输入成功的手机号，并立即委托成功","0","0","1","0","0"
"","联合办公列表页","搜索-办伴","0","0","1","0","0"
"","委托找房","进入委托找房页面","0","0","1","0","0"
"","首页","成功进入首页","0","0","1","0","0"
"","办公室列表页","搜索-大厦","0","0","1","0","0"
"","委托出租","进入委托找房页面","0","0","1","0","0"
"","委托出租","输入错误手机号","0","0","1","0","0"
"","委托出租","输入成功的手机号，并立即委托成功","0","0","1","0","0"
"","联合办公列表页","进入联合办公列表页","0","0","1","0","0"
"","写字楼列表页","进入写字楼列表页","0","0","1","0","0"
"","办公室列表页","进入办公室列表页","0","0","1","0","0"
"","委托找房","输入错误手机号","0","0","1","0","0"
